iter	Passed	Remaining
0	1	118
1	2	109
2	3	105
3	4	101
4	5	98
5	6	96
6	7	93
7	7	91
8	9	91
9	10	90
10	10	88
11	11	86
12	12	85
13	13	83
14	14	81
15	15	80
16	16	80
17	17	80
18	18	80
19	19	78
20	20	77
21	21	76
22	22	75
23	23	74
24	24	74
25	25	72
26	26	72
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	34	62
36	35	61
37	36	60
38	37	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	26
73	71	25
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	93	0
99	94	0
