iter	Passed	Remaining
0	1	1519
1	2	1253
2	3	1095
3	4	1003
4	4	954
5	5	941
6	6	923
7	7	901
8	8	885
9	8	866
10	9	852
11	10	844
12	10	834
13	11	826
14	12	818
15	13	820
16	14	816
17	14	812
18	15	809
19	16	803
20	17	799
21	17	794
22	18	788
23	19	783
24	19	778
25	20	774
26	21	770
27	22	766
28	22	760
29	23	756
30	24	753
31	24	749
32	25	747
33	26	743
34	26	740
35	27	737
36	28	735
37	28	732
38	29	729
39	30	726
40	30	724
41	31	721
42	32	719
43	33	717
44	33	715
45	34	712
46	35	711
47	35	710
48	36	709
49	37	708
50	38	707
51	38	706
52	39	703
53	40	701
54	40	699
55	41	698
56	42	696
57	42	694
58	43	693
59	44	691
60	44	690
61	45	688
62	46	686
63	46	685
64	47	686
65	48	687
66	49	687
67	50	686
68	50	685
69	51	684
70	52	683
71	52	682
72	53	682
73	54	681
74	55	679
75	55	678
76	56	676
77	57	674
78	57	673
79	58	672
80	59	671
81	59	670
82	60	665
83	60	664
84	61	663
85	62	661
86	62	660
87	63	659
88	64	657
89	64	656
90	65	655
91	66	655
92	67	654
93	67	653
94	68	651
95	69	651
96	69	650
97	70	649
98	71	648
99	71	647
100	72	646
101	73	646
102	74	645
103	74	644
104	75	642
105	76	641
106	76	639
107	77	638
108	77	636
109	78	634
110	79	633
111	79	632
112	80	631
113	81	631
114	81	629
115	82	629
116	83	627
117	83	627
118	84	625
119	85	624
120	85	623
121	86	620
122	86	619
123	87	619
124	88	618
125	88	617
126	89	615
127	90	615
128	91	614
129	91	613
130	92	612
131	92	610
132	93	609
133	94	607
134	94	606
135	95	606
136	96	605
137	96	604
138	97	604
139	98	604
140	99	603
141	99	600
142	100	599
143	100	598
144	101	597
145	101	596
146	102	596
147	103	595
148	104	595
149	104	594
150	105	594
151	106	593
152	106	592
153	107	591
154	108	590
155	108	588
156	109	587
157	110	587
158	110	586
159	111	585
160	112	584
161	112	583
162	113	582
163	114	581
164	114	580
165	115	579
166	115	578
167	116	577
168	117	575
169	117	575
170	118	574
171	119	573
172	119	573
173	120	572
174	121	571
175	121	570
176	122	569
177	123	568
178	123	568
179	124	567
180	125	566
181	125	565
182	126	564
183	127	563
184	127	562
185	128	561
186	129	560
187	129	560
188	130	559
189	131	558
190	131	557
191	132	556
192	132	556
193	133	555
194	134	554
195	135	553
196	135	553
197	136	552
198	137	551
199	137	550
200	138	549
201	138	548
202	139	547
203	140	547
204	140	546
205	141	545
206	142	544
207	142	543
208	143	542
209	144	541
210	144	540
211	145	540
212	145	538
213	146	537
214	147	536
215	147	536
216	148	535
217	149	534
218	149	533
219	150	533
220	151	532
221	151	531
222	152	530
223	152	529
224	153	528
225	154	528
226	154	527
227	155	526
228	156	525
229	156	524
230	157	523
231	158	523
232	158	522
233	159	521
234	159	520
235	160	519
236	161	518
237	161	517
238	162	516
239	163	516
240	163	515
241	164	515
242	165	514
243	165	513
244	166	512
245	166	511
246	167	510
247	168	509
248	168	509
249	169	508
250	169	507
251	171	508
252	172	507
253	172	507
254	173	506
255	173	505
256	174	504
257	175	503
258	175	502
259	176	501
260	176	500
261	177	499
262	178	499
263	178	498
264	179	498
265	180	497
266	180	496
267	181	495
268	182	494
269	182	493
270	183	493
271	183	492
272	184	491
273	185	490
274	185	490
275	186	489
276	187	489
277	188	488
278	188	487
279	189	487
280	190	486
281	190	486
282	191	485
283	192	484
284	192	483
285	193	483
286	194	483
287	195	482
288	195	481
289	196	481
290	197	480
291	197	479
292	198	478
293	199	477
294	199	477
295	200	476
296	201	475
297	201	475
298	202	474
299	202	473
300	203	472
301	204	471
302	204	470
303	205	470
304	205	469
305	206	468
306	207	467
307	207	466
308	208	466
309	209	465
310	209	465
311	210	464
312	211	463
313	211	462
314	212	461
315	212	460
316	213	460
317	214	459
318	214	458
319	215	457
320	216	457
321	216	456
322	217	455
323	217	454
324	218	453
325	219	453
326	219	452
327	220	451
328	220	450
329	221	449
330	222	449
331	222	448
332	223	447
333	224	447
334	224	446
335	225	445
336	226	445
337	226	444
338	227	443
